full_name,affilitation,code,family_name,wage,declaration_web
PAGANO Nazario,FIBP-UDC,32679,Pagano,139473,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Pagano_2021.pdf?
PAPAEVANGELIU Kristalia Rachele,,34630,Papaevangeliu,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Papaevangeliu_2021.pdf?
PAPATHEU Urania Giulia Rosina,FIBP-UDC,30396,Papatheu,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Papatheu_2021.pdf?
PARAGONE Gianluigi,Misto,32680,Paragone,97545,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Paragone_2021.pdf?
PARENTE Annamaria,IV-PSI,29157,Parente,113923,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Parente_2021.pdf?
PAROLI Adriano,FIBP-UDC,4512,Paroli,121747,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Paroli_2021.pdf?
PARRINI Dario,PD,29521,Parrini,109551,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Parrini_2021.pdf?
PATRIARCA Edoardo,,29524,Patriarca,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Patriarca_2021.pdf?
PATUANELLI Stefano,M5S,32681,Patuanelli,98980,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Patuanelli_2021.pdf?
PAVANELLI Emma,M5S,34677,Pavanelli,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Pavanelli_2021.pdf?
PAZZAGLINI Giuliano,L-SP-PSd'Az,32682,Pazzaglini,102030,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Pazzaglini_2021.pdf?
PELLEGRINI Emanuele,L-SP-PSd'Az,32683,Pellegrini,106288,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Pellegrini_Emanuele_2021.pdf?
PELLEGRINI Marco,M5S,32684,Pellegrini,139524,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Pellegrini_Marco_2021.pdf?
PEPE Pasquale,L-SP-PSd'Az,32685,Pepe,107701,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Pepe_2021.pdf?
PERGREFFI Simona,L-SP-PSd'Az,32686,Pergreffi,122304,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Pergreffi_2021.pdf?
PERILLI Gianluca,M5S,32687,Perilli,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Perilli_2021.pdf?
PEROSINO Marco,FIBP-UDC,32688,Perosino,154778,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Perosino_2021.pdf?
